timestamp,devID,device,temp,humi,soil,rain,geo,"ละติจูด","ลองจิจูด","ระดับความเสี่ยง",iso_risk,lstm_risk,"RF Risk"
"2025-11-18 23:31:45","107","Node 107","23.50","97.90","41.40","0.28","11.74","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:31:32","106","Node 106","23.50","98.90","49.30","0.28","0.31","8.886654","99.784569","ต่ำ","0","0","0"
"2025-11-18 23:31:22","109","Node 109","23.20","98.70","43.10","0.00","0.36","8.868584","99.749565","ต่ำ","0","0","0"
"2025-11-18 23:31:20","108","Node 108","23.45","98.50","48.80","0.00","9.61","8.866832","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:31:00","107","Node 107","23.50","97.90","41.40","0.28","22.87","8.866673","99.754539","ปานกลาง","1","0","1"
"2025-11-18 23:30:47","106","Node 106","23.50","98.90","49.30","0.28","0.33","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:30:37","109","Node 109","23.15","98.70","43.10","0.00","0.30","8.868584","99.749565","ต่ำ","0","0","0"
"2025-11-18 23:30:15","107","Node 107","23.50","97.85","41.40","0.28","11.77","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:30:02","106","Node 106","23.50","98.90","49.30","0.28","0.36","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:29:52","109","Node 109","23.10","98.70","43.10","0.00","0.25","8.868585","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:29:50","108","Node 108","23.40","98.50","48.80","0.00","11.04","8.866833","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:29:17","106","Node 106","23.50","98.90","49.30","0.28","2.96","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:29:07","109","Node 109","23.10","98.70","43.10","0.00","0.72","8.868585","99.749573","ต่ำ","0","0","0"
"2025-11-18 23:29:05","108","Node 108","23.40","98.50","48.80","0.00","16.69","8.866833","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:28:32","106","Node 106","23.50","98.90","49.30","0.28","2.96","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:28:20","108","Node 108","23.40","98.50","48.80","0.00","22.35","8.866833","99.754456","ต่ำ","0","0","1"
"2025-11-18 23:28:00","107","Node 107","23.50","97.90","41.40","0.28","0.46","8.866673","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:27:47","106","Node 106","23.50","98.90","49.30","0.28","12.24","8.886654","99.784561","ต่ำ","0","0","1"
"2025-11-18 23:27:35","108","Node 108","23.50","98.50","48.80","0.00","1.53","8.866833","99.754456","ต่ำ","0","0","0"
"2025-11-18 23:27:15","107","Node 107","23.55","97.85","41.40","0.28","6.54","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:27:02","106","Node 106","23.50","98.90","49.30","0.28","24.06","8.886654","99.784561","ต่ำ","0","0","1"
"2025-11-18 23:26:17","106","Node 106","23.60","98.90","49.30","0.28","0.47","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:26:05","108","Node 108","23.50","98.50","48.80","0.00","0.30","8.866833","99.754456","ต่ำ","0","0","0"
"2025-11-18 23:25:45","107","Node 107","23.50","97.80","41.40","0.28","7.60","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:25:32","106","Node 106","23.60","98.90","49.30","0.28","0.47","8.886654","99.784561","ต่ำ","0","0","0"
"2025-11-18 23:25:20","108","Node 108","23.40","98.45","48.80","0.00","8.72","8.866829","99.754463","ต่ำ","0","0","1"
"2025-11-18 23:25:00","107","Node 107","23.60","97.85","41.40","0.28","17.76","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:24:47","106","Node 106","23.50","98.90","49.30","0.28","2.68","8.886653","99.784554","ต่ำ","0","0","0"
"2025-11-18 23:24:37","109","Node 109","23.15","98.75","43.10","0.28","1.32","8.868584","99.749588","ต่ำ","0","0","0"
"2025-11-18 23:24:35","108","Node 108","23.40","98.40","48.80","0.00","10.39","8.866829","99.754463","ต่ำ","0","0","1"
"2025-11-18 23:24:02","106","Node 106","23.50","98.90","49.30","0.28","0.48","8.886653","99.784554","ต่ำ","0","0","0"
"2025-11-18 23:23:52","109","Node 109","23.10","98.70","43.10","0.28","-2.31","8.868584","99.749588","ต่ำ","0","0","0"
"2025-11-18 23:23:50","108","Node 108","23.40","98.40","48.80","0.00","0.45","8.866829","99.754463","ต่ำ","0","0","0"
"2025-11-18 23:23:30","107","Node 107","23.60","97.90","41.40","0.28","18.09","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:23:17","106","Node 106","23.60","98.90","49.30","0.28","0.43","8.886653","99.784554","ต่ำ","0","0","0"
"2025-11-18 23:23:07","109","Node 109","23.15","98.70","43.10","0.28","0.47","8.868584","99.749588","ต่ำ","0","0","0"
"2025-11-18 23:22:45","107","Node 107","23.60","97.90","41.40","0.28","9.29","8.866673","99.754539","ต่ำ","0","0","1"
"2025-11-18 23:22:32","106","Node 106","23.60","98.90","49.30","0.28","0.43","8.886653","99.784554","ต่ำ","0","0","0"
"2025-11-18 23:22:22","109","Node 109","23.10","98.70","43.10","0.28","0.43","8.868584","99.749588","ต่ำ","0","0","0"
"2025-11-18 23:22:20","108","Node 108","23.45","98.45","48.80","0.14","0.40","8.866829","99.754463","ต่ำ","0","0","0"
"2025-11-18 23:21:59","107","Node 107","23.60","97.90","41.40","0.28","0.48","8.866673","99.754539","ต่ำ","0","0","0"
"2025-11-18 23:21:47","106","Node 106","23.50","98.90","49.30","0.28","0.42","8.886653","99.784554","ต่ำ","0","0","0"
"2025-11-18 23:21:37","109","Node 109","23.10","98.70","43.10","0.28","1.01","8.868584","99.749588","ต่ำ","0","0","0"
